,입고 예약 날짜,센터,협력회사,입고 예약 설정 시간,입고예약,미처리 예약,현재 시각
45,2022/06/24,E300 : 김해물류센터,A0176657: 주식회사 스칸딕프라자,a_2100,32 건,0 건,2022_06_22_07_53
46,2022/06/24,E300 : 김해물류센터,A0193596: (주)에스앤푸드,a_2100,2 건,0 건,2022_06_22_07_54
47,2022/06/24,E300 : 김해물류센터,A0221253: 솔로몬엔터프라이즈주식회사,a_2100,0 건,x,2022_06_22_07_54
48,2022/06/24,E300 : 김해물류센터,A0232510: 이엔푸드,a_2100,0 건,x,2022_06_22_07_54
49,2022/06/24,E300 : 김해물류센터,A0245015: (주)삼아아시아,a_2100,0 건,x,2022_06_22_07_54
50,2022/06/23,E200 : 왜관물류센터,A0021178: (주)엠디에스코리아,a_2100,8 건,0 건,2022_06_22_07_55
51,2022/06/23,E200 : 왜관물류센터,A0021400: 영미산업(주),a_2100,0 건,x,2022_06_22_07_55
52,2022/06/23,E200 : 왜관물류센터,A0026129: 연세대학교 연세우유,a_2100,11 건,0 건,2022_06_22_07_55
53,2022/06/23,E200 : 왜관물류센터,A0026283: (주)정.식품,a_2100,27 건,0 건,2022_06_22_07_56
54,2022/06/23,E200 : 왜관물류센터,A0026875: 대상푸드플러스주식회사,a_2100,4 건,0 건,2022_06_22_07_56
55,2022/06/23,E200 : 왜관물류센터,A0035706: (주)병천아우내식품,a_2100,4 건,0 건,2022_06_22_07_57
56,2022/06/23,E200 : 왜관물류센터,A0037854: 주식회사 동방푸드마스타,a_2100,5 건,0 건,2022_06_22_07_58
57,2022/06/23,E200 : 왜관물류센터,A0037855: 그린써브(주),a_1730,71 건,0 건,2022_06_22_07_58
58,2022/06/23,E200 : 왜관물류센터,A0039824: 씨제이 푸드빌(주),a_2100,0 건,x,2022_06_22_07_58
59,2022/06/23,E200 : 왜관물류센터,A0049477: 대상에프앤비(주),a_2100,1 건,0 건,2022_06_22_07_59
60,2022/06/23,E200 : 왜관물류센터,A0051109: (주)에취알에스,a_2100,0 건,x,2022_06_22_07_59
61,2022/06/23,E200 : 왜관물류센터,A0053856: 종로복떡방,a_2100,11 건,0 건,2022_06_22_08_00
62,2022/06/23,E200 : 왜관물류센터,A0058410: 청호식품,a_2100,0 건,x,2022_06_22_08_00
63,2022/06/23,E200 : 왜관물류센터,A0134072: (주) 이룸푸드시스템,a_2100,4 건,0 건,2022_06_22_08_00
64,2022/06/23,E200 : 왜관물류센터,A0142645: (주)일화,a_2100,33 건,0 건,2022_06_22_08_01
65,2022/06/23,E200 : 왜관물류센터,A0154307: 농업회사법인주식회사 네이처팜,a_2100,0 건,x,2022_06_22_08_01
66,2022/06/23,E200 : 왜관물류센터,A0157435: (주)세진에프알에스,a_2100,0 건,x,2022_06_22_08_01
67,2022/06/23,E200 : 왜관물류센터,A0164484: 태광식품(주),a_2100,103 건,0 건,2022_06_22_08_02
68,2022/06/23,E200 : 왜관물류센터,A0165357: 샘표식품 주식회사,a_2100,1 건,0 건,2022_06_22_08_02
69,2022/06/23,E200 : 왜관물류센터,A0169483: (주)움트리,a_2100,1 건,0 건,2022_06_22_08_03
70,2022/06/23,E200 : 왜관물류센터,A0176657: 주식회사 스칸딕프라자,a_2100,0 건,x,2022_06_22_08_03
71,2022/06/23,E200 : 왜관물류센터,A0193596: (주)에스앤푸드,a_2100,2 건,0 건,2022_06_22_08_03
72,2022/06/23,E200 : 왜관물류센터,A0221253: 솔로몬엔터프라이즈주식회사,a_2100,0 건,x,2022_06_22_08_03
73,2022/06/23,E200 : 왜관물류센터,A0232510: 이엔푸드,a_2100,0 건,x,2022_06_22_08_04
74,2022/06/23,E200 : 왜관물류센터,A0245015: (주)삼아아시아,a_2100,53 건,0 건,2022_06_22_08_04
75,2022/06/23,E400 : 광주물류센터,A0021178: (주)엠디에스코리아,a_2100,1 건,0 건,2022_06_22_08_05
76,2022/06/23,E400 : 광주물류센터,A0021400: 영미산업(주),a_2100,0 건,x,2022_06_22_08_05
77,2022/06/23,E400 : 광주물류센터,A0026129: 연세대학교 연세우유,a_2100,3 건,0 건,2022_06_22_08_05
78,2022/06/23,E400 : 광주물류센터,A0026283: (주)정.식품,a_2100,12 건,0 건,2022_06_22_08_06
79,2022/06/23,E400 : 광주물류센터,A0026875: 대상푸드플러스주식회사,a_2100,4 건,0 건,2022_06_22_08_07
80,2022/06/23,E400 : 광주물류센터,A0035706: (주)병천아우내식품,a_2100,1 건,0 건,2022_06_22_08_07
81,2022/06/23,E400 : 광주물류센터,A0037854: 주식회사 동방푸드마스타,a_2100,6 건,0 건,2022_06_22_08_08
82,2022/06/23,E400 : 광주물류센터,A0037855: 그린써브(주),a_1730,9 건,0 건,2022_06_22_08_08
83,2022/06/23,E400 : 광주물류센터,A0039824: 씨제이 푸드빌(주),a_2100,0 건,x,2022_06_22_08_08
84,2022/06/23,E400 : 광주물류센터,A0049477: 대상에프앤비(주),a_2100,1 건,0 건,2022_06_22_08_09
85,2022/06/23,E400 : 광주물류센터,A0051109: (주)에취알에스,a_2100,6 건,0 건,2022_06_22_08_10
86,2022/06/23,E400 : 광주물류센터,A0053856: 종로복떡방,a_2100,1 건,0 건,2022_06_22_08_10
87,2022/06/23,E400 : 광주물류센터,A0058410: 청호식품,a_2100,0 건,x,2022_06_22_08_10
88,2022/06/23,E400 : 광주물류센터,A0134072: (주) 이룸푸드시스템,a_2100,5 건,0 건,2022_06_22_08_11
89,2022/06/23,E400 : 광주물류센터,A0142645: (주)일화,a_2100,0 건,x,2022_06_22_08_11
90,2022/06/23,E400 : 광주물류센터,A0154307: 농업회사법인주식회사 네이처팜,a_2100,0 건,x,2022_06_22_08_11
91,2022/06/23,E400 : 광주물류센터,A0157435: (주)세진에프알에스,a_2100,0 건,x,2022_06_22_08_11
92,2022/06/23,E400 : 광주물류센터,A0164484: 태광식품(주),a_2100,27 건,0 건,2022_06_22_08_12
93,2022/06/23,E400 : 광주물류센터,A0165357: 샘표식품 주식회사,a_2100,0 건,x,2022_06_22_08_12
94,2022/06/23,E400 : 광주물류센터,A0169483: (주)움트리,a_2100,1 건,0 건,2022_06_22_08_12
95,2022/06/23,E400 : 광주물류센터,A0176657: 주식회사 스칸딕프라자,a_2100,0 건,x,2022_06_22_08_12
96,2022/06/23,E400 : 광주물류센터,A0193596: (주)에스앤푸드,a_2100,2 건,0 건,2022_06_22_08_13
97,2022/06/23,E400 : 광주물류센터,A0221253: 솔로몬엔터프라이즈주식회사,a_2100,0 건,x,2022_06_22_08_13
98,2022/06/23,E400 : 광주물류센터,A0232510: 이엔푸드,a_2100,1 건,0 건,2022_06_22_08_14
99,2022/06/23,E400 : 광주물류센터,A0245015: (주)삼아아시아,a_2100,7 건,0 건,2022_06_22_08_14
100,2022/06/24,E600 : 제주물류센터,A0021178: (주)엠디에스코리아,a_2100,0 건,x,2022_06_22_08_14
101,2022/06/24,E600 : 제주물류센터,A0021400: 영미산업(주),a_2100,0 건,x,2022_06_22_08_14
102,2022/06/24,E600 : 제주물류센터,A0026129: 연세대학교 연세우유,a_2100,0 건,x,2022_06_22_08_15
103,2022/06/24,E600 : 제주물류센터,A0026283: (주)정.식품,a_2100,0 건,x,2022_06_22_08_15
104,2022/06/24,E600 : 제주물류센터,A0026875: 대상푸드플러스주식회사,a_2100,0 건,x,2022_06_22_08_15
105,2022/06/24,E600 : 제주물류센터,A0035706: (주)병천아우내식품,a_2100,0 건,x,2022_06_22_08_15
106,2022/06/24,E600 : 제주물류센터,A0037854: 주식회사 동방푸드마스타,a_2100,0 건,x,2022_06_22_08_15
107,2022/06/24,E600 : 제주물류센터,A0037855: 그린써브(주),a_1730,1 건,0 건,2022_06_22_08_16
108,2022/06/24,E600 : 제주물류센터,A0039824: 씨제이 푸드빌(주),a_2100,0 건,x,2022_06_22_08_16
109,2022/06/24,E600 : 제주물류센터,A0049477: 대상에프앤비(주),a_2100,0 건,x,2022_06_22_08_16
110,2022/06/24,E600 : 제주물류센터,A0051109: (주)에취알에스,a_2100,0 건,x,2022_06_22_08_16
